dim_1,dim_2,level,price
29,28,luxury,2212.0
28,29,luxury,2203.0
6,9,basic,254.0
5,9,basic,242.0
6,6,basic,195.0
5,8,basic,200.0
27,29,luxury,2108.0
23,14,medium,998.0
9,5,basic,225.0
29,26,luxury,2052.0
29,26,luxury,2042.0
29,29,luxury,2285.0
5,7,basic,170.0
21,11,medium,793.0
29,27,luxury,2130.0
8,9,basic,337.0
27,27,luxury,1981.0
26,29,luxury,2046.0
15,14,medium,728.0
23,20,medium,1372.0
26,29,luxury,2053.0
7,8,basic,269.0
8,6,basic,215.0
12,14,medium,599.0
8,6,basic,254.0
27,26,luxury,1924.0
27,26,luxury,1925.0
8,5,basic,190.0
21,19,medium,1210.0
27,28,luxury,2037.0
9,7,basic,300.0
28,29,luxury,2216.0
20,16,medium,1015.0
8,6,basic,221.0
7,6,basic,199.0
11,17,medium,647.0
6,5,basic,168.0
9,7,basic,287.0
18,12,medium,720.0
6,5,basic,184.0
6,6,basic,210.0
29,28,luxury,2180.0
28,28,luxury,2107.0
7,9,basic,265.0
5,5,basic,167.0
5,6,basic,186.0
5,5,basic,150.0
22,24,medium,1496.0
6,9,basic,281.0
5,7,basic,205.0
24,16,medium,1151.0
14,15,medium,730.0
5,9,basic,241.0
29,26,luxury,2081.0
13,12,medium,554.0
17,20,medium,1061.0
18,22,medium,1206.0
5,6,basic,172.0
26,27,luxury,1949.0
6,6,basic,213.0
19,16,medium,940.0
28,27,luxury,2079.0
9,7,basic,284.0
27,29,luxury,2107.0
7,9,basic,274.0
8,7,basic,284.0
5,7,basic,188.0
5,7,basic,199.0
26,29,luxury,2039.0
27,29,luxury,2124.0
9,7,basic,294.0
8,5,basic,211.0
18,18,medium,1018.0
7,8,basic,281.0
26,28,luxury,1973.0
5,9,basic,222.0
26,27,luxury,1958.0
12,12,medium,514.0
27,28,luxury,2045.0
6,8,basic,218.0
17,15,medium,823.0
20,22,medium,1305.0
14,23,medium,997.0
28,26,luxury,1997.0
27,28,luxury,2059.0
7,8,basic,245.0
27,28,luxury,2082.0
29,27,luxury,2128.0
24,12,medium,926.0
17,22,medium,1119.0
20,16,medium,1015.0
6,9,basic,278.0
5,7,basic,169.0
9,7,basic,307.0
8,9,basic,328.0
27,27,luxury,1991.0
29,27,luxury,2150.0
24,11,medium,891.0
21,18,medium,1121.0
29,27,luxury,2103.0
