disk,os,price,year
64,Android,7256,2016
128,Android,7623,2015
64,Android,1916,2010
512,iOS,15045,2017
16,Android,4478,2013
512,iOS,15842,2018
128,Android,7191,2015
64,Android,4277,2013
512,iOS,12797,2015
64,Android,6256,2015
512,iOS,13788,2016
128,Android,10729,2018
512,iOS,9392,2012
128,Android,5416,2013
256,iOS,7334,2012
16,Android,1890,2011
512,iOS,12571,2015
16,Android,5814,2015
256,iOS,13422,2018
256,iOS,11910,2017
16,Android,1599,2010
64,Android,5055,2013
512,iOS,10309,2013
64,Android,9560,2018
64,Android,9022,2017
64,Android,7122,2015
32,Android,8292,2017
256,iOS,9477,2014
32,Android,2402,2011
512,iOS,12283,2015
512,iOS,11789,2014
256,iOS,5149,2010
256,iOS,6793,2012
16,Android,4832,2014
64,Android,7592,2016
256,iOS,5982,2011
512,iOS,12677,2015
512,iOS,15647,2018
64,Android,7249,2016
64,Android,4872,2013
512,iOS,14838,2017
512,iOS,12625,2015
32,Android,5048,2014
32,Android,8405,2017
64,Android,7577,2016
128,Android,7528,2015
64,Android,9838,2018
64,Android,2277,2011
512,iOS,10506,2013
256,iOS,12662,2018
256,iOS,9817,2015
256,iOS,7761,2013
16,Android,2780,2012
64,Android,1435,2010
256,iOS,7698,2013
512,iOS,8020,2010
32,Android,1464,2010
512,iOS,12735,2015
512,iOS,11102,2013
256,iOS,12026,2017
512,iOS,10182,2013
64,Android,4514,2013
128,Android,4993,2013
16,Android,8081,2017
128,Android,3103,2011
64,Android,9503,2018
128,Android,6958,2015
256,iOS,4608,2010
64,Android,5100,2013
256,iOS,11794,2017
256,iOS,11305,2016
512,iOS,11051,2013
16,Android,8351,2017
512,iOS,8392,2011
256,iOS,12488,2017
16,Android,4473,2013
16,Android,5821,2015
512,iOS,8562,2011
32,Android,6330,2015
512,iOS,9780,2012
64,Android,2937,2011
32,Android,2446,2011
32,Android,3835,2013
256,iOS,9580,2015
32,Android,7282,2016
64,Android,4546,2013
256,iOS,10304,2015
256,iOS,8855,2014
512,iOS,14976,2017
512,iOS,8652,2011
256,iOS,13422,2018
512,iOS,8884,2011
16,Android,7091,2016
16,Android,7195,2016
128,Android,8556,2016
512,iOS,8398,2011
64,Android,7197,2016
32,Android,5694,2014
32,Android,7589,2016
256,iOS,9533,2014
