"ID";"CinemaName";"AdmArea";"District";"Address";"NumberOfAccessPoints";"WiFiName";"CoverageArea";"FunctionFlag";"AccessFlag";"Password";"Latitude_WGS84";"Longitude_WGS84";"global_id";"geoData";"geodata_center";"geoarea";
"Код";"Наименование кинотеатра";"Административный округ";"Район";"Адрес";"Количество точек доступа";"Имя Wi-Fi сети";"Зона покрытия, в метрах";"Признак функционирования";"Условия доступа";"Пароль";"Широта в WGS-84";"Долгота в WGS-84";"global_id";"geoData";"geodata_center";"geoarea";
"1";"Государственное бюджетное учреждение культуры города Москвы «Московское кино» Кинотеатр «Москино Космос»";"Северо-Восточный административный округ";"Останкинский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Останкинский, проспект Мира, дом 109";"7";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.818675";"37.636778";"879791944";"{""coordinates"":[37.636778,55.818675],""type"":""Point""}";"";"";
"3";"Государственное бюджетное учреждение культуры города Москвы «Московское кино» Кинотеатр «Москино Вымпел»";"Северо-Восточный административный округ";"Бабушкинский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бабушкинский, улица Коминтерна, дом 8";"5";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.861974";"37.676825";"879791951";"{""coordinates"":[37.676825,55.861974],""type"":""Point""}";"";"";
"4";"Государственное бюджетное учреждение культуры города Москвы «Московское кино» Кинотеатр «Москино Тула»";"Юго-Восточный административный округ";"район Печатники";"город Москва, улица Кухмистерова, дом 4";"8";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.685873";"37.718534";"879791953";"{""coordinates"":[37.718534,55.685873],""type"":""Point""}";"";"";
"7";"Государственное бюджетное учреждение культуры города Москвы «Московское кино» Кинотеатр «Москино Салют»";"Юго-Западный административный округ";"Академический район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Академический, улица Кедрова, дом 14, корпус 1";"3";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.682787";"37.571585";"879791961";"{""coordinates"":[37.571585,55.682787],""type"":""Point""}";"";"";
"9";"Государственное бюджетное учреждение культуры города Москвы «Московское кино» Кинотеатр «Москино Березка»";"Восточный административный округ";"район Новогиреево";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Новогиреево, Мартеновская улица, дом 25";"6";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.749841";"37.802562";"879791967";"{""coordinates"":[37.802562,55.749841],""type"":""Point""}";"";"";
"2";"Государственное бюджетное учреждение культуры города Москвы «Московское кино» Кинотеатр «Москино Звезда»";"Центральный административный округ";"Басманный район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, улица Земляной Вал, дом 18-22, строение 2";"4";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.759903";"37.657015";"879795206";"{""coordinates"":[37.657015,55.759903],""type"":""Point""}";"";"";
"5";"Государственное бюджетное учреждение культуры города Москвы «Московское кино» Кинотеатр «Москино Молодежный»";"Юго-Восточный административный округ";"район Текстильщики";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Текстильщики, Люблинская улица, дом 11";"6";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.710864";"37.731299";"879795207";"{""coordinates"":[37.731299,55.710864],""type"":""Point""}";"";"";
"6";"Государственное бюджетное учреждение культуры города Москвы «Московское кино» Кинотеатр «Москино Спутник»";"Юго-Восточный административный округ";"район Лефортово";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Лефортово, Солдатская улица, дом 15";"4";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.764303";"37.705508";"879795208";"{""coordinates"":[37.705508,55.764303],""type"":""Point""}";"";"";
"8";"Государственное бюджетное учреждение культуры города Москвы «Московское кино» Кинотеатр «Москино Искра»";"Северный административный округ";"Тимирязевский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тимирязевский, улица Костякова, дом 10";"3";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.814406";"37.571210";"879795209";"{""coordinates"":[37.57121,55.814406],""type"":""Point""}";"";"";
"10";"Государственное бюджетное учреждение культуры города Москвы «Московское кино» Кинотеатр «Москино Сатурн»";"Северо-Восточный административный округ";"район Свиблово";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Свиблово, Снежная улица, дом 18";"5";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.851945";"37.647549";"879795211";"{""coordinates"":[37.647549,55.851945],""type"":""Point""}";"";"";
"11";"Государственное бюджетное учреждение культуры города Москвы «Киноконцертный зал «Эльдар»";"Юго-Западный административный округ";"Обручевский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Обручевский, Ленинский проспект, дом 105";"5";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.665309";"37.513395";"879795212";"{""coordinates"":[37.513395,55.665309],""type"":""Point""}";"";"";
"12";"Государственное бюджетное учреждение культуры города Москвы «Московское кино» Кинотеатр «Москино Факел»";"Юго-Восточный административный округ";"район Лефортово";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Лефортово, шоссе Энтузиастов, дом 15/16";"3";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.751817";"37.716144";"2587601291";"{""coordinates"":[37.716144,55.751817],""type"":""Point""}";"";"";
